skills/ad-creative/	364	1	desc:Y	trig:N
skills/adversarial-verification/	41	1	desc:Y	trig:N
skills/agent-scout/	148	1	desc:Y	trig:N
skills/anime-dna-extensions/	252	1	desc:Y	trig:Y
skills/anthropic-managed-agents/	28	1	desc:Y	trig:N
skills/audit-log-firewall/	27	1	desc:Y	trig:N
skills/bankai-manifest/	140	1	desc:Y	trig:Y
skills/bg/	93	1	desc:Y	trig:Y
skills/brainstorming/	164	3	desc:Y	trig:N
skills/browser-harness/	123	0	desc:Y	trig:N
skills/caveman/	49	1	desc:Y	trig:N
skills/claude-codex-capability-bridge/	152	1	desc:Y	trig:N
skills/claude-output-lane/	120	1	desc:Y	trig:N
skills/codebase-to-course/	221	3	desc:Y	trig:N
skills/codex-plugin-control-plane/	41	1	desc:Y	trig:N
skills/compact-optimizer/	178	1	desc:Y	trig:Y
skills/design-assistant-inbox/	72	1	desc:Y	trig:N
skills/design-master/	188	2	desc:Y	trig:Y
skills/design-source-pack/	28	1	desc:Y	trig:N
skills/diagnose/	117	1	desc:Y	trig:N
skills/dispatching-parallel-agents/	182	1	desc:Y	trig:N
skills/end-of-transmission/	180	1	desc:Y	trig:Y
skills/executing-plans/	70	1	desc:Y	trig:N
skills/execution-domain-core/	173	10	desc:Y	trig:Y
skills/extraction-sprint/	212	1	desc:Y	trig:Y
skills/failure-evolution-loop/	167	10	desc:Y	trig:Y
skills/finishing-a-development-branch/	251	1	desc:Y	trig:N
skills/frontend-design/	45	1	desc:Y	trig:N
skills/geass-lock/	113	1	desc:Y	trig:Y
skills/git-guardrails-claude-code/	95	1	desc:Y	trig:N
skills/gitnexus-cli/	83	1	desc:Y	trig:N
skills/gitnexus-debugging/	89	1	desc:Y	trig:N
skills/gitnexus-exploring/	78	1	desc:Y	trig:N
skills/gitnexus-guide/	64	1	desc:Y	trig:N
skills/gitnexus-impact-analysis/	97	1	desc:Y	trig:N
skills/gitnexus-pr-review/	163	1	desc:Y	trig:N
skills/gitnexus-refactoring/	121	1	desc:Y	trig:N
skills/gitnexus/	20	1	desc:Y	trig:N
skills/gpt-oss-local-runtime/	28	1	desc:Y	trig:N
skills/grill-me/	10	1	desc:Y	trig:N
skills/grill-with-docs/	88	3	desc:Y	trig:N
skills/haki-intent/	103	1	desc:Y	trig:Y
skills/hatch-pet/	539	2	desc:Y	trig:N
skills/imagegen/	356	2	desc:Y	trig:N
skills/improve-codebase-architecture/	71	4	desc:Y	trig:N
skills/izanagi-simulator/	108	1	desc:Y	trig:Y
skills/kimi-k2-6-server-adapter/	28	1	desc:Y	trig:N
skills/math-curve-loaders/	28	1	desc:Y	trig:N
skills/migrate-to-shoehorn/	118	1	desc:Y	trig:N
skills/mineru-document-extractor/	186	1	desc:Y	trig:N
skills/nen-phase-detector/	93	1	desc:Y	trig:Y
